COUNTRY,VARIABLE,UNIT,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
AUS,13_T039,PERCENTAGE,SE,P1Y,2018,0.8987571,NA
AUS,13_T040,PERCENTAGE,SE,P1Y,2018,1.0358911,NA
AUS,14_T042,PERCENTAGE,SE,P1Y,2018,1.1068584,NA
AUS,14_T043,PERCENTAGE,SE,P1Y,2013,0.68182015,NA
AUS,14_T043,PERCENTAGE,SE,P1Y,2018,0.53843886,NA
AUS,14_T044,PERCENTAGE,SE,P1Y,2018,0.72892129,NA
AUS,14_T045,PERCENTAGE,SE,P1Y,2018,1.0164579,NA
AUS,14_T046,PERCENTAGE,SE,P1Y,2018,0.77941114,NA
AUS,15_T014,PERCENTAGE,SE,P1Y,2013,0.79405224,NA
AUS,15_T014,PERCENTAGE,SE,P1Y,2018,0.65272164,NA
AUS,15_T049,PERCENTAGE,SE,P1Y,2018,0.93166065,NA
AUS,15_T050,PERCENTAGE,SE,P1Y,2018,0.93951946,NA
AUS,15_T051,PERCENTAGE,SE,P1Y,2018,0.97968781,NA
AUS,16_T027,PERCENTAGE,SE,P1Y,2013,1.346575,NA
AUS,16_T027,PERCENTAGE,SE,P1Y,2018,0.98187852,NA
AUS,16_T028,PERCENTAGE,SE,P1Y,2013,1.0255762,NA
AUS,16_T028,PERCENTAGE,SE,P1Y,2018,0.5680055,NA
AUS,16_T166,PERCENTAGE,SE,P1Y,2018,1.0370047,NA
AUS,16_T167,PERCENTAGE,SE,P1Y,2018,0.88150364,NA
AUS,18_T168,PERCENTAGE,SE,P1Y,2013,1.128023,NA
AUS,18_T168,PERCENTAGE,SE,P1Y,2018,0.69972378,NA
AUS,18_T169,PERCENTAGE,SE,P1Y,2013,0.89836729,NA
AUS,18_T169,PERCENTAGE,SE,P1Y,2018,0.58573848,NA
AUS,18_T170,PERCENTAGE,SE,P1Y,2013,1.6703993,NA
AUS,18_T170,PERCENTAGE,SE,P1Y,2018,0.96182126,NA
AUS,18_T171,PERCENTAGE,SE,P1Y,2018,0.92925435,NA
AUS,18_T172,PERCENTAGE,SE,P1Y,2018,0.99863338,NA
AUS,18_T173,PERCENTAGE,SE,P1Y,2018,0.72944909,NA
AUS,19_T174,PERCENTAGE,SE,P1Y,2013,1.6971412,NA
AUS,19_T174,PERCENTAGE,SE,P1Y,2018,0.91137087,NA
