COU,SEX,IND,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
HUN,FEMALE,FAM18B,P1Y,NBR,0,2009,484.1
HUN,FEMALE,FAM18B,P1Y,NBR,0,2012,472.7
HUN,FEMALE,FAM18B,P1Y,NBR,0,2015,472.7
HUN,FEMALE,FAM18B,P1Y,NBR,0,2018,476.7
HUN,MALE,FAM18C,P1Y,NBR,0,2006,507
HUN,MALE,FAM18C,P1Y,NBR,0,2009,502.7
HUN,MALE,FAM18C,P1Y,NBR,0,2012,495.9
HUN,MALE,FAM18C,P1Y,NBR,0,2015,478.2
HUN,MALE,FAM18C,P1Y,NBR,0,2018,484
HUN,FEMALE,FAM18C,P1Y,NBR,0,2006,500.6
HUN,FEMALE,FAM18C,P1Y,NBR,0,2009,502.6
HUN,FEMALE,FAM18C,P1Y,NBR,0,2012,492.8
HUN,FEMALE,FAM18C,P1Y,NBR,0,2015,475.2
HUN,FEMALE,FAM18C,P1Y,NBR,0,2018,477.9
ISL,MALE,FAM18A,P1Y,NBR,0,2006,460.4
ISL,MALE,FAM18A,P1Y,NBR,0,2009,478.1
ISL,MALE,FAM18A,P1Y,NBR,0,2012,457.3
ISL,MALE,FAM18A,P1Y,NBR,0,2015,460.1
ISL,MALE,FAM18A,P1Y,NBR,0,2018,453.5
ISL,FEMALE,FAM18A,P1Y,NBR,0,2006,508.9
ISL,FEMALE,FAM18A,P1Y,NBR,0,2009,522.2
ISL,FEMALE,FAM18A,P1Y,NBR,0,2012,508.4
ISL,FEMALE,FAM18A,P1Y,NBR,0,2015,501.7
ISL,FEMALE,FAM18A,P1Y,NBR,0,2018,494.1
ISL,MALE,FAM18B,P1Y,NBR,0,2006,503.3
ISL,MALE,FAM18B,P1Y,NBR,0,2009,508.4
ISL,MALE,FAM18B,P1Y,NBR,0,2012,489.7
ISL,MALE,FAM18B,P1Y,NBR,0,2015,487.4
ISL,MALE,FAM18B,P1Y,NBR,0,2018,490.2
ISL,FEMALE,FAM18B,P1Y,NBR,0,2006,507.8
ISL,FEMALE,FAM18B,P1Y,NBR,0,2009,504.9
ISL,FEMALE,FAM18B,P1Y,NBR,0,2012,495.9
ISL,FEMALE,FAM18B,P1Y,NBR,0,2015,488.6
ISL,FEMALE,FAM18B,P1Y,NBR,0,2018,500.1
ISL,MALE,FAM18C,P1Y,NBR,0,2006,487.7
ISL,MALE,FAM18C,P1Y,NBR,0,2009,496.5
ISL,MALE,FAM18C,P1Y,NBR,0,2012,476.7
ISL,MALE,FAM18C,P1Y,NBR,0,2015,471.7
ISL,MALE,FAM18C,P1Y,NBR,0,2018,470.8
ISL,FEMALE,FAM18C,P1Y,NBR,0,2006,493.9
ISL,FEMALE,FAM18C,P1Y,NBR,0,2009,494.7
ISL,FEMALE,FAM18C,P1Y,NBR,0,2012,479.7
ISL,FEMALE,FAM18C,P1Y,NBR,0,2015,474.7
ISL,FEMALE,FAM18C,P1Y,NBR,0,2018,479.2
IRL,MALE,FAM18A,P1Y,NBR,0,2006,500.2
IRL,MALE,FAM18A,P1Y,NBR,0,2009,476.3
IRL,MALE,FAM18A,P1Y,NBR,0,2012,509.2
IRL,MALE,FAM18A,P1Y,NBR,0,2015,515
IRL,MALE,FAM18A,P1Y,NBR,0,2018,506.4
IRL,FEMALE,FAM18A,P1Y,NBR,0,2006,534
IRL,FEMALE,FAM18A,P1Y,NBR,0,2009,515.5
IRL,FEMALE,FAM18A,P1Y,NBR,0,2012,537.7
IRL,FEMALE,FAM18A,P1Y,NBR,0,2015,526.9
IRL,FEMALE,FAM18A,P1Y,NBR,0,2018,529.6
IRL,MALE,FAM18B,P1Y,NBR,0,2006,507.3
IRL,MALE,FAM18B,P1Y,NBR,0,2009,490.9
IRL,MALE,FAM18B,P1Y,NBR,0,2012,509
IRL,MALE,FAM18B,P1Y,NBR,0,2015,511.6
IRL,MALE,FAM18B,P1Y,NBR,0,2018,502.6
IRL,FEMALE,FAM18B,P1Y,NBR,0,2006,495.8
IRL,FEMALE,FAM18B,P1Y,NBR,0,2009,483.3
IRL,FEMALE,FAM18B,P1Y,NBR,0,2012,493.7
IRL,FEMALE,FAM18B,P1Y,NBR,0,2015,495.4
IRL,FEMALE,FAM18B,P1Y,NBR,0,2018,496.7
IRL,MALE,FAM18C,P1Y,NBR,0,2006,508.1
IRL,MALE,FAM18C,P1Y,NBR,0,2009,506.6
IRL,MALE,FAM18C,P1Y,NBR,0,2012,523.9
IRL,MALE,FAM18C,P1Y,NBR,0,2015,507.7
IRL,MALE,FAM18C,P1Y,NBR,0,2018,495.4
IRL,FEMALE,FAM18C,P1Y,NBR,0,2006,508.5
IRL,FEMALE,FAM18C,P1Y,NBR,0,2009,509.4
IRL,FEMALE,FAM18C,P1Y,NBR,0,2012,520
IRL,FEMALE,FAM18C,P1Y,NBR,0,2015,497.2
IRL,FEMALE,FAM18C,P1Y,NBR,0,2018,496.9
ITA,MALE,FAM18A,P1Y,NBR,0,2006,447.7
ITA,MALE,FAM18A,P1Y,NBR,0,2009,463.8
ITA,MALE,FAM18A,P1Y,NBR,0,2012,470.9
ITA,MALE,FAM18A,P1Y,NBR,0,2015,476.7
ITA,MALE,FAM18A,P1Y,NBR,0,2018,464.3
ITA,FEMALE,FAM18A,P1Y,NBR,0,2006,489
ITA,FEMALE,FAM18A,P1Y,NBR,0,2009,509.5
ITA,FEMALE,FAM18A,P1Y,NBR,0,2012,509.9
ITA,FEMALE,FAM18A,P1Y,NBR,0,2015,492.7
ITA,FEMALE,FAM18A,P1Y,NBR,0,2018,489.1
ITA,MALE,FAM18B,P1Y,NBR,0,2006,470.1
ITA,MALE,FAM18B,P1Y,NBR,0,2009,490
ITA,MALE,FAM18B,P1Y,NBR,0,2012,494.2
ITA,MALE,FAM18B,P1Y,NBR,0,2015,499.8
ITA,MALE,FAM18B,P1Y,NBR,0,2018,494.1
ITA,FEMALE,FAM18B,P1Y,NBR,0,2006,453.5
ITA,FEMALE,FAM18B,P1Y,NBR,0,2009,475.4
ITA,FEMALE,FAM18B,P1Y,NBR,0,2012,475.8
ITA,FEMALE,FAM18B,P1Y,NBR,0,2015,479.8
ITA,FEMALE,FAM18B,P1Y,NBR,0,2018,478.5
ITA,MALE,FAM18C,P1Y,NBR,0,2006,476.9
ITA,MALE,FAM18C,P1Y,NBR,0,2009,487.9
ITA,MALE,FAM18C,P1Y,NBR,0,2012,494.9
ITA,MALE,FAM18C,P1Y,NBR,0,2015,489.1
ITA,MALE,FAM18C,P1Y,NBR,0,2018,469.6
ITA,FEMALE,FAM18C,P1Y,NBR,0,2006,473.9
ITA,FEMALE,FAM18C,P1Y,NBR,0,2009,489.8
ITA,FEMALE,FAM18C,P1Y,NBR,0,2012,492.1
ITA,FEMALE,FAM18C,P1Y,NBR,0,2015,472.1
ITA,FEMALE,FAM18C,P1Y,NBR,0,2018,466.3
