COUNTRY,VARIABLE,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue,OBS_STATUS
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2008,13319,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2009,14491,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2010,15752,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2011,17280,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2012,18939,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2013,20663,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2014,21696,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2015,22455,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2016,23016,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2017,23431,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2018,23782,NA
AZE,T-PASS-RD-BUS,P1Y,PKM,6,2019,24400,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2004,109690,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2005,109420,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2006,109920,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2007,112080,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2008,113010,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2009,113430,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2010,109388,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2011,109970,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2012,110141,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2013,105360,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2014,108190,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2015,107070,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2016,105967,NA
BEL,T-PASS-RD-CAR,P1Y,PKM,6,2017,106940,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2004,83587,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2005,83937,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2006,84783,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2007,85757,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2008,87626.684209783,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2009,90239.259008148,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2010,92419.387321189,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2011,93400.149412342,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2012,94987.570779686,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2013,96362.440481672,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2014,97720.369848966,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2015,99158.08360765,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2016,101275.7072384,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2017,103104.041618,NA
CHE,T-PASS-RD-TOT,P1Y,PKM,6,2018,104331.24281709,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2004,874840,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2005,929208,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2006,1013085,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2007,1150677,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2008,1247611,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2009,1351144,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2010,1502081,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2011,1676025,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2012,1846755,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2013,1125090,B
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2014,1099680,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2015,1074270,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2016,1022870,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2017,976520,NA
CHN,T-PASS-RD-TOT,P1Y,PKM,6,2018,927970,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2004,7605,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2005,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2006,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2007,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2008,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2009,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2010,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2011,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2012,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2013,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2014,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2015,7540,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2016,8255,B
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2017,8200,B
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2018,8000,NA
FIN,T-PASS-RD-BUS,P1Y,PKM,6,2019,7900,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2004,2683.457775,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2005,2723.402598,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2006,2832.39148,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2007,2957.95521,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2008,3106.985939,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2009,3080.143787,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2010,3134.383471,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2011,3075.974123,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2012,3091.569419,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2013,3260,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2014,3440,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2015,3555,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2016,3695,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2017,3584,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2018,3722,NA
NOR,T-PASS-RL-TOT,P1Y,PKM,6,2019,3715,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2004,24332,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2005,25824,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2006,25920,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2007,25994,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2008,26395,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2009,26420,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2010,26879,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2011,26887,NA
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2012,26935,E
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2013,27155,E
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2014,27251,E
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2015,27531,E
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2016,27836,E
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2017,28125,E
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2018,28460,E
SVK,T-PASS-RD-CAR,P1Y,PKM,6,2019,28616,E
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2004,1949,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2005,2059,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2006,2206,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2007,2475,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2008,2599,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2009,2300,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2010,2417,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2011,2733,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2012,2835,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2013,3004,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2014,2720,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2015,2834,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2016,3006,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2017,3132,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2018,3374.7,NA
MDA,T-PASS-RD-TOT,P1Y,PKM,6,2019,3512.3,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2004,10544,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2005,9880,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2006,9584,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2007,8752,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2008,8293,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2009,8073,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2010,7692,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2011,7806,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2012,7806,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2013,7843,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2014,7738,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2015,7609.161,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2016,7653.455,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2017,7730.982,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2018,7769.56,NA
HUN,T-PASS-RL-TOT,P1Y,PKM,6,2019,7751.606,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2004,1413,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2005,1478,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2006,1450,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2007,1453,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2008,1574,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2009,1413,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2010,1404,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2011,1404,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2012,1376,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2013,1365,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2014,1327,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2015,1421.83097191,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2016,1482.22919834,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2017,1600.57655333,NA
CAN,T-PASS-RL-TOT,P1Y,PKM,6,2018,1685,P
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2004,10773,E
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2005,10830,E
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2006,10557,E
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2007,10878,E
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2008,10937,E
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2011,5850,B
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2012,5850,NA
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2013,6023,NA
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2014,5657,NA
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2015,6575,B
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2016,7612,NA
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2017,7415,NA
PRT,T-PASS-RD-BUS,P1Y,PKM,6,2018,7925.7121202886,NA
